id,createdAt,username,suspend,twitterId,tweetscout_score
clmr4qs8o0000mm080esi9syj,2023-09-20T02:33:32.281Z,racket_tester,False,1694387621815074816,0.0
clmr4v0dx0006mm08zpvazm97,2023-09-20T02:36:49.461Z,racket_wtf,False,1694395416916439041,294.74395668104887
clmrp3z7r0000mm08sl2dz96k,2023-09-20T12:03:40.167Z,APackProduction,False,1398332810746904578,341.2037514447929
clmrv9gir0000l908kqgbp0gv,2023-09-20T14:55:53.571Z,zakmdavis,False,29276672,283.58420266298333
cln2dsk600000mn0a1ed8m4bl,2023-09-27T23:32:19.608Z,phi_psy_pop,False,1700215140124123136,0.0
cln2fhb550002k008d65h7wdl,2023-09-28T00:19:33.929Z,VolkerEinsfeld,True,329473117,19.493588689617926
clnm5wc280000l60fyh38ek99,2023-10-11T19:46:42.321Z,not_CY_,False,1438287014047125508,386.33534655788355
clnnk7edp0000l00ggke4wwlv,2023-10-12T19:14:59.342Z,0xBlackfish,False,1548018908942086146,203.87250918159614
cloq7vx42000ejx0f8lgb16u3,2023-11-08T20:33:09.218Z,Elwhy02,False,196845073,347.74128314021044
closxhci6000fjy0g6wiyjzun,2023-11-10T18:05:11.695Z,Herv2C,False,1462925257904246785,7.745966692414834
clpa0lz2f00002be2tjowyy5x,2023-11-22T17:04:51.399Z,DevKhepri,False,1616581968241561600,83.92854103342914
clpiyswl80000kbc3hzv0gjgy,2023-11-28T23:24:11.132Z,BranmanCrypto,False,1165435607553904640,105.48933595392475
clpu2zfzn000u13zazd607f7c,2023-12-06T18:06:42.611Z,FudWen,False,1443637755712581635,122.54794979925205
clpu389lu000012yf1nffq8f5,2023-12-06T18:13:34.243Z,JimmyBATE5,False,884124850347847680,172.98265809034152
clpu7olp00001qzan6n57oxwp,2023-12-06T20:18:14.868Z,SethiusSol,False,1464080882189455360,30.659419433511783
clpu7onz7000080z8yiy2ez8m,2023-12-06T20:18:17.828Z,Althowcome,True,1166732657369071616,0.0
clpu7p10w0009qzan14ndivo1,2023-12-06T20:18:34.737Z,CryptoConArtist,False,1391189322993479680,460.711406414037
clpu7tovd000880z80o2ck9l3,2023-12-06T20:22:12.266Z,ferrdo_id,False,1089941430502490112,124.24974849069112
clpu7u58r000g80z87v34nqrl,2023-12-06T20:22:33.483Z,Shepowzer,False,1139098756769468416,396.8148182716971
clpu7xfpu000r80z8eblls9lp,2023-12-06T20:25:07.026Z,matic_kosak,False,1469970623875198976,7.280109889280518
clpu85zov0000ephh1sf7l3qn,2023-12-06T20:31:46.160Z,bellato_walter,False,1483448588529192961,0.0
clpu897hw0005zvcfzv0v4vf6,2023-12-06T20:34:16.244Z,moonfam69420,False,1491724768961302530,157.92403236999743
clpu89kf30008ephhutiyvwos,2023-12-06T20:34:32.992Z,sslow_sol,False,1520298393972654080,35.888716889852724
clpu8duv0000dzvcff2ds38gz,2023-12-06T20:37:53.148Z,PepeR1ck,False,912466721176526848,47.77028364998475
clpu8ep2h000lzvcfyqoiv5pr,2023-12-06T20:38:32.297Z,6mintr,True,1223326586470092802,32.264531609803356
clpu8epl5000z80z8tz9dxia6,2023-12-06T20:38:32.969Z,krdddd,False,3816724463,178.6672885561316
clpu8gezn000iephhhqvfqxn0,2023-12-06T20:39:52.547Z,Hard_abs2013,False,1447895548363747333,227.63128080296872
clpu8he8j0004t08pcq5olozu,2023-12-06T20:40:38.228Z,BoyakaD,True,1219289357527461888,0.0
clpu8jbu00002dte1hrih0gi2,2023-12-06T20:42:08.424Z,RobbbSimpson,False,1600735187188555776,73.95944834840239
clpu8kquy0000xpox6vmi88v2,2023-12-06T20:43:14.554Z,Skarrouche,False,1607403787,159.68719422671313
clpu985vz000ibuu52i7w3icy,2023-12-06T21:01:27.120Z,0xIcedMilo,False,185087903,138.83803513446884
clpu9qkcp0000urin0li1sfud,2023-12-06T21:15:45.673Z,voxos_,False,1183807677815803904,95.50916186418976
clpu9qmmf000014cqk2609q79,2023-12-06T21:15:48.616Z,Cosmyn_23,False,768212584801665024,0.0
clpu9qy5a0008urinlw3t7tiz,2023-12-06T21:16:03.551Z,daorithm,False,1464285874808668161,140.27829482853005
clpu9yak2000011wk0jmdbpdt,2023-12-06T21:21:46.226Z,DennisCkr44,False,876472157366300672,115.45561917897284
clpu9ydpp000334ap7qslnkzk,2023-12-06T21:21:50.317Z,theweb3surgeon,False,1721167713043681280,0.0
clpu9yjjh0003hytkwtp93fhi,2023-12-06T21:21:57.869Z,BloopBino,False,757077112368959488,83.43260753446461
clpua2rm4000e11wktdj53l9s,2023-12-06T21:25:14.956Z,phophofoe,False,1086287954216214530,31.89043743820395
clpua355l000b34ap26gj7tg0,2023-12-06T21:25:32.505Z,akidfromkanto,False,1478482569297465344,108.1988909370147
clpua370f000m11wkt5nhreum,2023-12-06T21:25:34.912Z,leantJPG,False,790615697772740608,117.16228061966018
clpua43sw000j34aplxr5t3qe,2023-12-06T21:26:17.409Z,mPhjXGd8H9q5VVr,False,939212350023925760,60.06662967072483
clpua4c58000r34appefcum11,2023-12-06T21:26:28.220Z,koesteban,False,43237795,202.6153992173349
clpua8zws000x11wkpee0epd5,2023-12-06T21:30:05.644Z,RGrisea2,False,1502929391940214786,5.830951894845301
clpuabh4y001511wkv6i7s6j3,2023-12-06T21:32:01.282Z,Ordimon_,False,1681952843278827520,0.0
clpuaopgc00001aq8prf4ndll,2023-12-06T21:42:18.588Z,0xViar,False,1435317564402450433,108.26818553942798
clpuaoypq0000dj8snp5ou34m,2023-12-06T21:42:30.590Z,0xgrinchy,False,1413031509771042818,48.86716689148246
clpuax10u0000hdrojlq1emx0,2023-12-06T21:48:46.830Z,0xgabi,False,1281588972,173.3176274935703
clpuaxyjs0000125qgaqbkzpg,2023-12-06T21:49:30.280Z,BitcoinAva,True,1696756577167122432,10.816653826391969
clpub03xi0006oug1ckax7rps,2023-12-06T21:51:10.567Z,agta1991,True,1215604636364787717,40.3732584763727
clpub07980003f2i3e1td49ao,2023-12-06T21:51:14.877Z,Rakuunak,False,1490067224798937094,20.92844953645635
clpub2cut000eoug1lrarqeo3,2023-12-06T21:52:55.446Z,StealthyNinjaaa,True,991052254747623424,0.0
clpub5b91000moug1q2pu9bzd,2023-12-06T21:55:13.334Z,champa_sol,False,951892329182433281,120.17903311310172
clpub9egc0000suakdacbn2fa,2023-12-06T21:58:24.108Z,Kram710Sol,False,1395772855351009280,135.49538737536417
clpub9lbm0008suak1fwyzvac,2023-12-06T21:58:33.010Z,periwinkleplur,False,1156747678451023874,269.1988112900947
clpubak74000xoug1auelygjr,2023-12-06T21:59:18.209Z,soljoj,False,1170710398561136641,97.84681905918046
clpubin49000ihhtwzwvza2qs,2023-12-06T22:05:35.242Z,not_kala,False,2969100242,84.1486779456457
clpubjd0m000gsuaklor9soqd,2023-12-06T22:06:08.806Z,Why_De2,False,1144005321528156160,105.53672346628922
clpubok4o000f122h1a0u0cv9,2023-12-06T22:10:11.305Z,Bm3rv,True,1391031276279373824,147.16657229140046
clpubp7bq000c12jpo5e4pjpw,2023-12-06T22:10:41.367Z,nftteko,False,1480520052877189121,184.04618985461232
clpubprub0000w0i9iqgktbiv,2023-12-06T22:11:07.955Z,GuitNSM,False,224583184,0.0
clpubqk020000s7d420ug8dz7,2023-12-06T22:11:44.451Z,zkRedDevil,False,492534408,100.22973610660661
clpubrufs0008w0i9gxdjxjfg,2023-12-06T22:12:44.632Z,PWC5,False,116528983,153.28078809818274
clpubt6c6000es7d40wcfkvt1,2023-12-06T22:13:46.710Z,Lu_crypto_,False,950698722677153794,43.68065933568311
clpubunkk000mw0i99kf64vv2,2023-12-06T22:14:55.701Z,defilogist,False,1439699807799492608,72.20110802473879
clpuc5z4v000t12jpioayn5a2,2023-12-06T22:23:43.903Z,thomasbahamasfi,False,1360285318553870336,325.1507342756587
clpuc73km000ss7d4gamc70x1,2023-12-06T22:24:36.311Z,SolNogg,False,1434703775189639174,281.18677067031444
clpuc8akl001iw0i9mnrp4q1u,2023-12-06T22:25:32.037Z,7omCrypto,False,1004224164855676929,398.39804216386403
clpucgnsc0028w0i9wr7c0egv,2023-12-06T22:32:02.413Z,frumza,False,489729360,321.9611777839061
clpuckh6v001j12jp3xyojy49,2023-12-06T22:35:00.488Z,kev4evaa,False,1608231195476918272,291.8030157486382
clpuclukf001r12jpvrp06urv,2023-12-06T22:36:04.480Z,VctorDms,False,1477360021432373253,106.16967551989597
clpuct5ly000u771butqc38po,2023-12-06T22:41:45.383Z,cryptogirl3333,False,1143309343049146369,34.97141690009142
clpucxws0002cs7d4bnkjvfz5,2023-12-06T22:45:27.216Z,Seschapmur,False,1431732319849697280,0.0
clpud3kmt002t12jp51bbqssu,2023-12-06T22:49:51.414Z,DaniOnNFTs422,False,1498731272771936259,34.17601498127012
clpud84q1000un5aut2jz8oci,2023-12-06T22:53:24.074Z,turche4_,True,1270127114436706304,0.0
clpudfdjx002kn5au2ucbb59k,2023-12-06T22:59:02.110Z,RealFinancialE1,False,1264077801696657408,97.16995420396162
clpudfznm001ct2aluqz16wzt,2023-12-06T22:59:30.755Z,Doodle3536,False,772398710504484864,59.405386961116584
clpudiyci0009u04haceeb29h,2023-12-06T23:01:49.027Z,TomSmit28365458,False,1436007730641358854,26.832815729997478
clpudodol001au04hs7lnbvka,2023-12-06T23:06:02.182Z,degenmx,False,1405346930058747911,126.8818347912734
clpudtgwu002014lcsp5fuud8,2023-12-06T23:09:59.646Z,highlandervalue,True,1478658779969425410,34.0147027033899
clpudv6o4003bctwethhdryqt,2023-12-06T23:11:19.684Z,mrcryptobrando,False,1300123817503789056,48.78524367060187
clpudwabm0041ctwe6vm605vb,2023-12-06T23:12:11.074Z,ismailttb,False,1489285780057034761,142.95104056983985
clpudwtce001xb78p9i9kv7s7,2023-12-06T23:12:35.727Z,ShanksNft04,False,1488665556945358850,145.89722409970656
clpudx2dw0020u04hh1xzowro,2023-12-06T23:12:47.444Z,premtheceo,False,1629996954670309379,23.473389188611005
clpudx3dd0051n5aumcixkgut,2023-12-06T23:12:48.722Z,solzake,False,1463190352710422530,53.0
clpudydvv000fd1trmzyah4d1,2023-12-06T23:13:49.004Z,ItsGoldenWind,True,1598045523176525858,0.0
clpudyz0c000td1trpxal504a,2023-12-06T23:14:16.380Z,Pixelebs_DAO,False,1543426905449418752,0.0
